time,open,high,low,close,CDV Line,CDV Candles (Open),CDV Candles (High,CDV Candles (Low),CDV Candles (Close),SMA 1,SMA 2,EMA 1,EMA 2
1705436400,37488,37491,37462,37472,,-15637.384947597293,-14196.518316153264,-15637.384947597293,-14641.475212704987,,,,
1705437000,37472,37483,37457,37475,,-15139.43008015114,-14117.162878487481,-15139.43008015114,-14601.797493872094,,,,
1705437600,37475,37501,37466,37494,,-14870.613787011618,-12879.020021344624,-14870.613787011618,-13498.091449916054,,,,
1705438200,37494,37562,37485,37553,,-14184.352618463836,-8074.864177188781,-14184.352618463836,-10476.942099266702,,,,
1705438800,37553,37564,37542,37562,,-12330.64735886527,-6533.318722643326,-12330.64735886527,-7304.0914499160535,,,,
1705439400,37562,37565,37548,37549,,-9817.369404390662,-6533.318722643326,-9817.369404390662,-6790.524604996266,,,,
1705501800,37355,37448,37342,37436,,-8303.947004693464,2729.1940409526787,-8303.947004693464,-2159.2682231982644,,,,
1705502400,37437,37441,37402,37437,,-5231.607613945864,5014.694040952679,-5231.607613945864,3871.9440409526787,,,,
1705503000,37439,37457,37410,37433,,-679.8317864965925,5014.694040952679,-679.8317864965925,3577.491913293104,,,,
1705503600,37432,37510,37424,37489,,1448.8300633982558,6657.2607158660885,1448.8300633982558,4398.775250749809,,,,
1705504200,37490,37514,37456,37456,,2923.802657074032,6657.2607158660885,2923.802657074032,5298.674508969537,,,,
1705504800,37455,37508,37446,37482,,4111.2385830217845,6321.556044008468,3940.088302072985,5130.822173040727,,,,
1705505400,37481,37514,37455,37506,,4621.030378031255,8363.895027059316,4621.030378031255,7342.725535533892,,,,
1705506000,37505,37517,37479,37508,,5981.877956782573,9799.973974427738,5981.877956782573,9081.934500743526,,,,
1705506600,37509,37529,37496,37509,,7531.9062287630495,10913.473974427738,7531.9062287630495,10356.723974427738,,,,
1705507200,37510,37555,37507,37528,,8944.315101595394,13224.161474427738,8944.315101595394,12068.817724427738,,,,
1705507800,37527,37542,37500,37521,,10506.566413011566,13224.161474427738,10506.566413011566,12573.590045856308,,,,
1705508400,37520,37537,37515,37522,,11540.078229433937,12886.291344557609,11540.078229433937,12404.654980921245,,,,
1705509000,37526,37559,37522,37553,,11972.36660517759,14212.994047260312,11972.36660517759,13549.64269590896,,,,
1705509600,37552,37552,37530,37533,,12761.004650543277,14212.994047260312,12761.004650543277,13602.187229078492,,,,
1705510200,37533,37534,37505,37507,,13181.595939810884,13181.595939810884,11708.363169517366,12349.871790207022,,,,
1705510800,37507,37511,37471,37472,,12765.733865008953,12765.733865008953,10037.738169517366,10873.050669517366,,,,
1705511400,37472,37499,37467,37474,,11819.39226726316,11819.39226726316,10037.738169517366,10418.378794517366,,,,
1705512000,37474,37477,37445,37452,,11118.885530890264,11118.885530890264,9574.738169517366,10186.878794517366,,,,
1705512600,37452,37454,37431,37434,,10652.882162703816,10652.882162703816,8533.694691256496,9054.216430386932,,,,
1705513200,37433,37447,37412,37441,,9853.549296545374,9853.549296545374,8533.694691256496,9172.858976970783,,,,
1705513800,37440,37460,37433,37438,,9513.204136758079,9812.023262685068,8968.87511453692,9390.449188610994,,,,
1705514400,37438,37469,37436,37446,,9451.826662684536,9971.511478173285,8968.87511453692,9470.193296355103,,,,
1705515000,37447,37449,37409,37423,,9461.009979519818,9971.511478173285,8439.511478173285,9205.511478173285,,,,
1705515600,37423,37424,37378,37393,,9333.260728846552,9333.260728846552,6495.7288694776325,7467.620173825459,,,,
1705516200,37391,37394,37351,37360,,8400.440451336006,8400.440451336006,5102.635846221819,5799.182357849726,,,,
1705516800,37359,37361,37315,37323,,7099.811404592866,7099.811404592866,2647.983672308775,3875.309759265297,,,,
1705517400,37326,37380,37323,37374,,5487.560581929081,5487.560581929081,2647.983672308775,3763.3784091508805,,,,
1705518000,37374,37393,37361,37368,,4625.469495539981,4878.7731459929855,3818.3356459929855,4348.5543959929855,,,,
1705518600,37369,37387,37359,37377,,4487.011945766483,4506.8356459929855,3818.3356459929855,4162.5856459929855,,,,
1705519200,37376,37404,37368,37387,,4324.798795879735,5719.043979326319,4324.798795879735,5112.939812659652,,,,
1705519800,37388,37404,37387,37392,,4718.869304269693,6389.808685208672,4718.869304269693,6054.426332267495,,,,
1705520400,37393,37420,37389,37404,,5386.647818268594,7582.7441690796395,5386.647818268594,6986.276427144156,,,,
1705521000,37403,37414,37397,37402,,6186.462122706374,7582.7441690796395,6186.462122706374,7327.567698491404,,,,
1705521600,37404,37413,37374,37379,,6757.014910598889,7072.391227903169,5646.339945851887,6359.365586877529,,,,
1705522200,37379,37385,37348,37381,,6558.1902487382085,6558.1902487382085,5646.339945851887,6057.157513419455,,,,
1705522800,37382,37386,37344,37359,,6307.673881078832,6467.975080987022,5373.034604796546,5920.504842891784,,,,
1705523400,37360,37429,37356,37421,,6114.089361985309,7199.472960960929,5373.034604796546,6286.253782878737,,,,
1705524000,37422,37437,37407,37418,,6200.171572432023,7199.472960960929,6100.706294294263,6650.089627627596,,,,
1705524600,37418,37487,37418,37459,,6425.13060002981,10954.257018931945,6100.706294294263,8527.481656613105,,,,
1705525200,37459,37472,37453,37457,,7476.306128321457,10954.257018931945,7476.306128321457,10448.875439984577,,,,
1705525800,37456,37460,37453,37454,,8962.590784153017,9943.493861037208,8962.590784153017,9823.601003894351,,,,
1705588200,37394,37399,37318,37363,,9393.095894023685,9703.708146751494,1916.2513566280377,5809.979751689767,,,,
1705588800,37363,37377,37303,37339,,7601.537822856726,7601.537822856726,-2107.04594066926,-95.39729202061108,,,,
1705589400,37339,37365,37314,37362,,3753.0702654180577,3753.0702654180577,-2107.04594066926,-1038.0361367476912,,,,
1705590000,37361,37400,37354,37367,,1357.5170643351832,2418.4519280434424,30.973667173877402,1224.71279760866,,,,
1705590600,37368,37426,37363,37391,,1291.1149309719217,4943.166213757728,1291.1149309719217,3680.809070900585,,,,
1705591200,37392,37422,37367,37399,,2485.9620009362534,6353.948031939546,2485.9620009362534,5648.557122848637,,,,
1705591800,37400,37468,37382,37446,,4067.259561892445,9326.250357520941,4067.259561892445,7840.099194730244,,,,
1705592400,37448,37457,37423,37453,,5953.679378311344,10824.309181050354,5953.679378311344,10075.279769285647,,,,
1705593000,37454,37461,37381,37394,,8014.479573798496,10824.309181050354,8014.479573798496,9714.809181050354,,,,
1705593600,37395,37397,37360,37387,,8864.644377424425,8864.644377424425,7215.782154023327,7910.5456675368405,,,,
1705594200,37388,37445,37387,37427,,8387.595022480633,8656.566636781949,7215.782154023327,7936.174395402639,,,,
1705594800,37427,37443,37420,37425,,8161.884708941636,8656.566636781949,7798.957941129775,8227.762288955862,,,,
1705595400,37426,37475,37414,37463,,8194.82349894875,10469.056301785513,7798.957941129775,9134.007121457644,,,,
1705596000,37463,37466,37411,37412,,8664.415310203196,10469.056301785513,8265.219938149148,9367.13811996733,,,,
1705596600,37412,37453,37411,37426,,9015.776715085263,9430.553271482482,8265.219938149148,8847.886604815816,,,,
1705597200,37426,37433,37348,37366,,8931.83165995054,9430.553271482482,5009.759153835424,7220.156212658953,,,,
1705597800,37365,37393,37332,37367,,8075.993936304747,8075.993936304747,5009.759153835424,5689.0747276059155,,,,
1705598400,37368,37383,37356,37378,,6882.534331955331,7218.019931006037,6368.3903013764075,6793.205116191222,,,,
1705599000,37379,37381,37337,37372,,6837.869724073276,7218.019931006037,6120.360840096946,6669.190385551492,,,,
1705599600,37372,37403,37358,37399,,6753.530054812384,7334.760840096946,6120.360840096946,6727.560840096947,,,,
1705600200,37397,37399,37362,37370,,6740.545447454666,7334.760840096946,6475.08516442127,6904.923002259108,,,,
1705600800,37372,37373,37332,37360,,6822.7342248568875,6822.7342248568875,5120.353457104196,5797.719310762734,,,,
1705601400,37360,37385,37346,37366,,6310.226767809811,6310.226767809811,5120.353457104196,5468.814995565735,,,,
1705602000,37365,37390,37353,37374,,5889.520881687773,6646.519777270517,5817.276534027274,6231.898155648895,,,,
1705602600,37372,37446,37368,37444,,6060.709518668335,8611.904392655133,6060.709518668335,7629.2120849628245,,,,
1705603200,37444,37464,37435,37458,,6844.9608018155795,9994.576806448236,6844.9608018155795,9303.240599551686,,,,
1705603800,37458,37482,37457,37462,,8074.100700683633,11279.856806448237,8074.100700683633,10637.216806448236,,,,
1705604400,37463,37500,37459,37493,,9355.658753565935,13155.29583083848,9355.658753565935,12217.576318643358,,,,
1705605000,37493,37537,37489,37523,,10786.617536104646,15268.60833083848,10786.617536104646,14211.95208083848,,,,
1705605600,37526,37592,37515,37589,,12499.284808471562,18725.88105811121,12499.284808471562,16997.244694474844,,,,
1705606200,37589,37618,37589,37595,,14748.264751473203,20533.208644318103,14748.264751473203,19629.544851214654,,,,
1705606800,37597,37605,37542,37571,,17188.904801343928,20533.208644318103,17188.904801343928,19358.1967395562,,,,
1705607400,37575,37606,37571,37593,,18273.550770450063,19687.627691937152,18183.184834794294,18935.406263365723,,,,
1705608000,37593,37644,37587,37637,,18604.478516907893,21394.882077902064,18604.478516907893,20541.25488491961,,,,
1705608600,37636,37645,37621,37625,,19572.86670091375,21394.882077902064,19572.86670091375,20814.465411235396,,,,
1705609200,37624,37664,37623,37664,,20193.666056074573,22399.317037251658,20193.666056074573,21316.682890910197,,,,
